"Interferer Name","Interferer ID"
"Satellite/LEOSAT1/Transmitter/LEO_Transmitter",0
"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",1
"Satellite/LEOSAT3/Transmitter/LEO_Transmitter",2
"Satellite/LEOSAT4/Transmitter/LEO_Transmitter",3
"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",4
"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",5

"Time (UTCG)","Link To ID","IF Source ID","Interferer Name","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Power At Rcvr Input (dBW)","Rcvr Gain (dB)","Rcvr NormGain","Rcvr Loss (dB)","Bandwidth Overlap (units)","Pwr Flux Density (dBW/m^2)","C/I (dB)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)"
10 Aug 2024 00:00:00.000,0,0,"Satellite/LEOSAT1/Transmitter/LEO_Transmitter",15.000,1.1251,14.174,23.967,63.270,1376.114799,0.000,0.000,15.000,-164.571,0.0000,1.000000,178.7427,0.9997,-118.582776,11.8355,0.000,0.0000,178.7427,0.0000,0.0000
10 Aug 2024 00:01:00.000,0,0,"Satellite/LEOSAT1/Transmitter/LEO_Transmitter",15.000,2.1152,15.164,35.733,57.756,1053.265630,0.000,0.000,15.000,-161.258,0.0000,1.000000,176.4204,0.9997,-115.277244,8.5229,0.000,0.0000,176.4204,0.0000,0.0000
10 Aug 2024 00:01:00.000,0,3,"Satellite/LEOSAT4/Transmitter/LEO_Transmitter",15.000,0.3399,13.388,288.558,68.015,2479.634772,0.000,0.000,15.000,-170.469,0.0000,1.000000,183.8574,0.9999,-124.510007,17.7343,0.000,0.0000,183.8574,0.0000,0.0000
10 Aug 2024 00:02:00.000,0,0,"Satellite/LEOSAT1/Transmitter/LEO_Transmitter",15.000,3.7126,16.761,59.370,49.854,822.844887,0.000,0.000,15.000,-157.515,0.0000,1.000000,174.2760,0.9999,-111.550613,4.7804,0.000,0.0000,174.2760,0.0000,0.0000
10 Aug 2024 00:02:00.000,0,3,"Satellite/LEOSAT4/Transmitter/LEO_Transmitter",15.000,0.3460,13.395,279.122,67.977,2402.970349,0.000,0.000,15.000,-170.190,0.0000,1.000000,183.5846,1.0000,-124.238534,17.4552,0.000,0.0000,183.5846,0.0000,0.0000
10 Aug 2024 00:03:00.000,0,0,"Satellite/LEOSAT1/Transmitter/LEO_Transmitter",15.000,4.2883,17.337,98.424,47.279,773.558455,0.000,0.000,15.000,-156.403,0.0000,1.000000,173.7395,0.9999,-110.448856,3.6679,0.000,0.0000,173.7395,0.0000,0.0000
10 Aug 2024 00:03:00.000,0,3,"Satellite/LEOSAT4/Transmitter/LEO_Transmitter",15.000,0.3470,13.395,269.331,67.971,2394.050104,0.000,0.000,15.000,-170.157,0.0000,1.000000,183.5523,1.0000,-124.207273,17.4218,0.000,0.0000,183.5523,0.0000,0.0000
10 Aug 2024 00:04:00.000,0,0,"Satellite/LEOSAT1/Transmitter/LEO_Transmitter",15.000,2.7767,15.825,129.831,54.342,934.549385,0.000,0.000,15.000,-159.557,0.0000,1.000000,175.3817,0.9998,-113.582419,6.8224,0.000,0.0000,175.3817,0.0000,0.0000
10 Aug 2024 00:04:00.000,0,3,"Satellite/LEOSAT4/Transmitter/LEO_Transmitter",15.000,0.3415,13.390,259.772,68.005,2453.464880,0.000,0.000,15.000,-170.376,0.0000,1.000000,183.7652,0.9999,-124.418075,17.6405,0.000,0.0000,183.7652,0.0000,0.0000
10 Aug 2024 00:05:00.000,0,0,"Satellite/LEOSAT1/Transmitter/LEO_Transmitter",15.000,1.4885,14.537,145.753,61.187,1225.012432,0.000,0.000,15.000,-163.197,0.0000,1.000000,177.7324,0.9997,-117.211529,10.4617,0.000,0.0000,177.7324,0.0000,0.0000
