"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
10 Aug 2024 00:00:00.000,6731.315145,-1413.531855,9.628203,0.912842,4.307345,-5.822112
10 Aug 2024 00:01:00.000,6772.411585,-1152.377862,-339.463070,0.456667,4.395269,-5.809987
10 Aug 2024 00:02:00.000,6786.089099,-886.405539,-687.057898,-0.000810,4.467899,-5.772249
10 Aug 2024 00:03:00.000,6772.325759,-616.542257,-1031.623989,-0.457717,4.524919,-5.709066
10 Aug 2024 00:04:00.000,6731.211889,-343.732763,-1371.642403,-0.912184,4.566066,-5.620716
10 Aug 2024 00:05:00.000,6662.949532,-68.936014,-1705.614246,-1.362358,4.591130,-5.507588
10 Aug 2024 00:06:00.000,6567.851447,206.878058,-2032.067281,-1.806405,4.599956,-5.370181
10 Aug 2024 00:07:00.000,6446.339661,482.731839,-2349.562415,-2.242517,4.592442,-5.209101
10 Aug 2024 00:08:00.000,6298.943561,757.643380,-2656.700043,-2.668923,4.568545,-5.025058
10 Aug 2024 00:09:00.000,6126.297548,1030.629776,-2952.126219,-3.083897,4.528277,-4.818863
10 Aug 2024 00:10:00.000,5929.138259,1300.710571,-3234.538624,-3.485757,4.471708,-4.591425
10 Aug 2024 00:11:00.000,5708.301368,1566.911184,-3502.692310,-3.872885,4.398964,-4.343747
10 Aug 2024 00:12:00.000,5464.717990,1828.266336,-3755.405182,-4.243720,4.310228,-4.076920
10 Aug 2024 00:13:00.000,5199.410685,2083.823466,-3991.563213,-4.596774,4.205741,-3.792121
10 Aug 2024 00:14:00.000,4913.489098,2332.646131,-4210.125355,-4.930633,4.085800,-3.490606
10 Aug 2024 00:15:00.000,4608.145244,2573.817380,-4410.128127,-5.243968,3.950757,-3.173703
10 Aug 2024 00:16:00.000,4284.648463,2806.443074,-4590.689862,-5.535531,3.801020,-2.842810
10 Aug 2024 00:17:00.000,3944.340061,3029.655158,-4751.014597,-5.804171,3.637052,-2.499384
10 Aug 2024 00:18:00.000,3588.627663,3242.614871,-4890.395575,-6.048830,3.459365,-2.144941
10 Aug 2024 00:19:00.000,3218.979311,3444.515868,-5008.218368,-6.268552,3.268526,-1.781042
10 Aug 2024 00:20:00.000,2836.917309,3634.587257,-5103.963582,-6.462485,3.065151,-1.409292
10 Aug 2024 00:21:00.000,2444.011871,3812.096540,-5177.209145,-6.629885,2.849904,-1.031329
10 Aug 2024 00:22:00.000,2041.874576,3976.352435,-5227.632172,-6.770117,2.623494,-0.648820
10 Aug 2024 00:23:00.000,1632.151664,4126.707575,-5255.010383,-6.882661,2.386675,-0.263451
10 Aug 2024 00:24:00.000,1216.517210,4262.561081,-5259.223089,-6.967110,2.140242,0.123079
10 Aug 2024 00:25:00.000,796.666192,4383.360981,-5240.251719,-7.023175,1.885030,0.509067
10 Aug 2024 00:26:00.000,374.307486,4488.606487,-5198.179903,-7.050681,1.621910,0.892811
10 Aug 2024 00:27:00.000,-48.843171,4577.850093,-5133.193106,-7.049574,1.351787,1.272619
10 Aug 2024 00:28:00.000,-471.070242,4650.699519,-5045.577807,-7.019915,1.075596,1.646817
10 Aug 2024 00:29:00.000,-890.665426,4706.819460,-4935.720237,-6.961884,0.794300,2.013756
10 Aug 2024 00:30:00.000,-1305.934654,4745.933154,-4804.104679,-6.875775,0.508887,2.371817
10 Aug 2024 00:31:00.000,-1715.205002,4767.823749,-4651.311330,-6.761999,0.220366,2.719423
10 Aug 2024 00:32:00.000,-2116.831507,4772.335474,-4478.013744,-6.621077,-0.070236,3.055040
10 Aug 2024 00:33:00.000,-2509.203847,4759.374591,-4284.975863,-6.453641,-0.361879,3.377191
10 Aug 2024 00:34:00.000,-2890.752866,4728.910143,-4073.048651,-6.260431,-0.653512,3.684453
10 Aug 2024 00:35:00.000,-3259.956906,4680.974476,-3843.166340,-6.042291,-0.944077,3.975474
10 Aug 2024 00:36:00.000,-3615.347930,4615.663538,-3596.342314,-5.800163,-1.232511,4.248970
10 Aug 2024 00:37:00.000,-3955.517413,4533.136956,-3333.664639,-5.535087,-1.517755,4.503735
10 Aug 2024 00:38:00.000,-4279.121965,4433.617877,-3056.291270,-5.248194,-1.798752,4.738646
