"Transmitter Name","Transmitter ID"
"Satellite/GEOSAT/Transmitter/My_Transmitter",0

"Receiver Name","Receiver ID"
"Facility/My_Fac/Receiver/My_Rec",0

"Time (UTCG)","Link To ID","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Carrier Power at Rcvr Input (dBW)","Flux Density (dBW/m^2)","Rcvr Gain (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Losss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Train (K)","Tatmos (K)","TcloudsFog (K)","TtropoScintill (K)","Tsun (K)","Tearth (K)","Tcosmic (K)","Tother (K)","Tantenna (K)","Tequiv (K)","g/T (dB/K)","C/No (dB*Hz)","C/(No+Io) (dB*Hz)","Bandwidth (MHz)","Bandwidth Overlap (units)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","C/N (dB)","C/(N+I) (dB)","Eb/No (dB)","Eb/(No+Io) (dB)","BER","BER+I","C/I (dB)","DeltaT/T (dB)","Pwr Flux Density (dBW/m^2)"
10 Aug 2024 00:00:00.000,0,25.000,31.2942,54.343,333.968,1.961,35925.9972,0.000,0.000,15.000,-152.735,-152.735,-107.7576,0.0000,207.0778,0.0000,0.0000,0.0000,0.0000,207.0778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,20.0000,95.8641,86.3694,32.0000,1.0000,0.000,0.0000,20.8126,11.3179,23.8229,14.3282,1.0000e-30,9.1384e-14,11.8355,8.9771,-118.5828
10 Aug 2024 00:01:00.000,0,25.000,31.2942,54.343,333.969,1.961,35925.9927,0.000,0.000,15.000,-152.735,-152.735,-107.7576,0.0000,207.0778,0.0000,0.0000,0.0000,0.0000,207.0778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,20.0000,95.8641,82.8595,32.0000,1.0000,0.000,0.0000,20.8126,7.8080,23.8229,10.8183,1.0000e-30,4.4636e-07,8.0310,12.7815,-114.7877
10 Aug 2024 00:02:00.000,0,25.000,31.2942,54.343,333.971,1.960,35925.9883,0.000,0.000,15.000,-152.735,-152.735,-107.7576,0.0000,207.0778,0.0000,0.0000,0.0000,0.0000,207.0778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,20.0000,95.8641,79.5019,32.0000,1.0000,0.000,0.0000,20.8126,4.4504,23.8229,7.4607,1.0000e-30,4.2117e-04,4.5520,16.2606,-111.3228
10 Aug 2024 00:03:00.000,0,25.000,31.2942,54.343,333.972,1.960,35925.9839,0.000,0.000,15.000,-152.735,-152.735,-107.7576,0.0000,207.0778,0.0000,0.0000,0.0000,0.0000,207.0778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,20.0000,95.8641,78.4604,32.0000,1.0000,0.000,0.0000,20.8126,3.4089,23.8229,6.4192,1.0000e-30,1.5319e-03,3.4886,17.3239,-110.2698
10 Aug 2024 00:04:00.000,0,25.000,31.2942,54.343,333.973,1.960,35925.9795,0.000,0.000,15.000,-152.735,-152.735,-107.7575,0.0000,207.0778,0.0000,0.0000,0.0000,0.0000,207.0778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,20.0000,95.8641,81.3712,32.0000,1.0000,0.000,0.0000,20.8126,6.3197,23.8229,9.3300,1.0000e-30,1.7356e-05,6.4768,14.3358,-113.2382
10 Aug 2024 00:05:00.000,0,25.000,31.2942,54.343,333.975,1.960,35925.9751,0.000,0.000,15.000,-152.735,-152.735,-107.7575,0.0000,207.0778,0.0000,0.0000,0.0000,0.0000,207.0778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,20.0000,95.8641,85.1301,32.0000,1.0000,0.000,0.0000,20.8126,10.0786,23.8229,13.0889,1.0000e-30,8.7386e-11,10.4617,10.3508,-117.2115
10 Aug 2024 00:06:00.000,0,25.000,31.2942,54.343,333.976,1.960,35925.9708,0.000,0.000,15.000,-152.735,-152.735,-107.7575,0.0000,207.0778,0.0000,0.0000,0.0000,0.0000,207.0778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,20.0000,95.8641,87.6602,32.0000,1.0000,0.000,0.0000,20.8126,12.6087,23.8229,15.6190,1.0000e-30,6.7031e-18,13.3207,7.4918,-120.0661
10 Aug 2024 00:07:00.000,0,25.000,31.2942,54.343,333.977,1.960,35925.9664,0.000,0.000,15.000,-152.735,-152.735,-107.7575,0.0000,207.0778,0.0000,0.0000,0.0000,0.0000,207.0778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,20.0000,95.8641,89.4335,32.0000,1.0000,0.000,0.0000,20.8126,14.3820,23.8229,17.3923,1.0000e-30,5.6636e-26,15.5029,5.3097,-122.2461
10 Aug 2024 00:08:00.000,0,25.000,31.2942,54.343,333.979,1.960,35925.9621,0.000,0.000,15.000,-152.735,-152.735,-107.7575,0.0000,207.0778,0.0000,0.0000,0.0000,0.0000,207.0778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,20.0000,95.8641,90.6863,32.0000,1.0000,0.000,0.0000,20.8126,15.6348,23.8229,18.6451,1.0000e-30,1.0000e-30,17.2058,3.6067,-123.9481
10 Aug 2024 00:09:00.000,0,25.000,31.2942,54.343,333.980,1.960,35925.9578,0.000,0.000,15.000,-152.735,-152.735,-107.7575,0.0000,207.0778,0.0000,0.0000,0.0000,0.0000,207.0778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,20.0000,95.8641,95.8641,32.0000,1.0000,0.000,0.0000,20.8126,20.8126,23.8229,23.8229,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
